Rk,Player,Year,Age,Tm,Lg,Pos,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,PIM,MIN
1,Martin Biron,2009,31,PHI,NHL,G,6,2,4,,16,198,182,.919,2.56,1,0,375
2,Martin Brodeur,2009,36,NJD,NHL,G,7,3,4,,17,239,222,.929,2.39,1,4,427
3,Ty Conklin,2009,32,DET,NHL,G,1,0,0,0,0,9,9,1.000,0.00,0,0,20
4,Corey Crawford,2009,24,CHI,NHL,G,1,0,0,0,1,7,6,.857,3.75,0,0,16
5,Corey Crawford,2009,24,CHI,NHL,G,,,,,,,,,,,0,
6,Marc-Andre Fleury,2009,24,PIT,NHL,G,24,16,8,0,63,686,623,.908,2.61,0,2,1447
7,Mathieu Garon,2009,31,PIT,NHL,G,1,0,0,,0,8,8,1.000,0.00,0,0,24
8,Jean-Sebastien Giguere,2009,31,ANA,NHL,G,1,0,0,,0,6,6,1.000,0.00,0,0,17
9,Jaroslav Halak,2009,23,MTL,NHL,G,1,0,0,,0,5,5,1.000,0.00,0,0,20
10,Jonas Hiller,2009,26,ANA,NHL,G,13,7,6,0,30,524,494,.943,2.23,2,0,807
11,Cristobal Huet,2009,33,CHI,NHL,G,3,1,2,,7,78,71,.910,3.23,0,0,130
12,Nikolai Khabibulin,2009,36,CHI,NHL,G,15,8,6,,43,421,378,.898,2.93,0,0,881
13,Miikka Kiprusoff,2009,32,CGY,NHL,G,6,2,4,,19,164,145,.884,3.52,0,2,324
14,Henrik Lundqvist,2009,26,NYR,NHL,G,7,3,4,,19,207,188,.908,3.00,1,0,380
15,Roberto Luongo,2009,29,VAN,NHL,G,10,6,4,,26,304,278,.914,2.52,1,0,618
16,Chris Mason,2009,32,STL,NHL,G,4,0,4,,10,119,109,.916,2.34,0,0,256
17,Steve Mason,2009,20,CBJ,NHL,G,4,0,4,,17,139,122,.878,4.27,0,0,239
18,Curtis McElhinney,2009,25,CGY,NHL,G,1,0,0,0,1,10,9,.900,1.76,0,0,34
19,Evgeni Nabokov,2009,33,SJS,NHL,G,6,2,4,0,17,155,138,.890,2.82,0,0,362
20,Chris Osgood,2009,36,DET,NHL,G,23,15,8,,47,637,590,.926,2.01,2,2,1406
21,Carey Price,2009,21,MTL,NHL,G,4,0,4,0,15,123,108,.878,4.11,0,0,219
22,Jose Theodore,2009,32,WSH,NHL,G,2,0,1,0,6,33,27,.818,3.71,0,0,97
23,Tim Thomas,2009,34,BOS,NHL,G,11,7,4,0,21,323,302,.935,1.85,1,0,680
24,Steve Valiquette,2009,31,NYR,NHL,G,2,0,0,,0,9,9,1.000,0.00,0,0,40
25,Semyon Varlamov,2009,20,WSH,NHL,G,13,7,6,,32,389,357,.918,2.53,2,2,759
26,Cam Ward,2009,24,CAR,NHL,G,18,8,10,0,49,576,527,.915,2.67,2,0,1101
27,Craig Anderson,2010,28,COL,NHL,G,6,2,4,,16,239,223,.933,2.62,1,0,366
28,Johan Backlund,2010,28,PHI,NHL,G,1,0,0,,0,0,0,,0.00,0,0,1
29,Brian Boucher,2010,33,PHI,NHL,G,12,6,6,,27,298,271,.909,2.47,1,2,656
30,Martin Brodeur,2010,37,NJD,NHL,G,5,1,4,,15,126,111,.881,3.01,0,0,299
31,Ilya Bryzgalov,2010,29,PHX,NHL,G,7,3,4,,24,255,231,.906,3.44,0,0,419
32,Peter Budaj,2010,27,COL,NHL,G,1,0,0,,1,4,3,.750,6.67,0,0,9
33,Brian Elliott,2010,24,OTT,NHL,G,4,1,2,0,14,95,81,.853,4.14,0,0,203
34,Erik Ersberg,2010,27,LAK,NHL,G,1,0,0,,2,4,2,.500,9.23,0,0,13
35,Marc-Andre Fleury,2010,25,PIT,NHL,G,13,7,6,0,37,339,302,.891,2.78,1,2,798
36,Thomas Greiss,2010,24,SJS,NHL,G,1,0,0,0,2,28,26,.929,3.00,0,0,40
37,Jaroslav Halak,2010,24,MTL,NHL,G,18,9,9,,43,562,519,.923,2.55,0,0,1013
38,Jimmy Howard,2010,25,DET,NHL,G,12,5,7,,33,387,354,.915,2.75,1,2,720
39,Cristobal Huet,2010,34,CHI,NHL,G,1,0,0,,0,3,3,1.000,0.00,0,0,20
40,Brent Johnson,2010,32,PIT,NHL,G,1,0,0,0,1,7,6,.857,1.94,0,0,31
41,Pascal Leclaire,2010,27,OTT,NHL,G,3,1,2,,10,125,115,.920,2.84,0,0,211
42,Michael Leighton,2010,28,PHI,NHL,G,14,8,3,,31,371,340,.916,2.46,3,2,757
43,Roberto Luongo,2010,30,VAN,NHL,G,12,6,6,,38,362,324,.895,3.22,0,0,707
44,Ryan Miller,2010,29,BUF,NHL,G,6,2,4,,15,204,189,.926,2.34,0,2,384
45,Evgeni Nabokov,2010,34,SJS,NHL,G,15,8,7,0,38,407,369,.907,2.56,1,0,890
46,Antti Niemi,2010,26,CHI,NHL,G,22,16,6,,58,645,587,.910,2.63,2,2,1322
47,Carey Price,2010,22,MTL,NHL,G,4,0,1,0,8,73,65,.890,3.56,0,4,135
48,Jonathan Quick,2010,24,LAK,NHL,G,6,2,4,,21,181,160,.884,3.50,0,0,360
49,Tuukka Rask,2010,22,BOS,NHL,G,13,7,6,,36,409,373,.912,2.61,0,0,829
50,Andrew Raycroft,2010,29,VAN,NHL,G,1,0,0,,1,7,6,.857,2.40,0,0,25
51,Pekka Rinne,2010,27,NSH,NHL,G,6,2,4,,16,179,163,.911,2.68,0,0,358
52,Jose Theodore,2010,33,WSH,NHL,G,2,0,1,0,5,40,35,.875,3.70,0,0,81
53,Semyon Varlamov,2010,21,WSH,NHL,G,6,3,3,,14,153,139,.908,2.41,0,0,349
54,Sergei Bobrovsky,2011,22,PHI,NHL,G,6,0,2,,10,81,71,.877,3.23,0,0,186
55,Brian Boucher,2011,34,PHI,NHL,G,9,4,4,,22,229,207,.904,3.13,0,2,422
56,Ilya Bryzgalov,2011,30,PHX,NHL,G,4,0,4,,17,140,123,.879,4.36,0,0,234
57,Corey Crawford,2011,26,CHI,NHL,G,7,3,4,,16,218,202,.927,2.21,1,0,435
58,Dan Ellis,2011,30,ANA,NHL,G,1,0,1,,4,24,20,.833,5.85,0,0,41
59,Ray Emery,2011,28,ANA,NHL,G,6,2,3,,17,165,148,.897,3.20,0,0,319
60,Jhonas Enroth,2011,22,BUF,NHL,G,1,0,0,,1,8,7,.875,3.53,0,0,17
61,Marc-Andre Fleury,2011,26,PIT,NHL,G,7,3,4,,17,168,151,.899,2.52,1,0,405
62,Jimmy Howard,2011,26,DET,NHL,G,11,7,4,,28,364,336,.923,2.50,0,2,673
63,Brent Johnson,2011,33,PIT,NHL,G,1,0,0,,4,11,7,.636,7.06,0,2,34
64,Michael Leighton,2011,29,PHI,NHL,G,2,0,1,,4,29,25,.862,3.43,0,0,70
65,Anders Lindback,2011,22,NSH,NHL,G,1,0,0,,0,9,9,1.000,0.00,0,0,13
66,Henrik Lundqvist,2011,28,NYR,NHL,G,5,1,4,,13,156,143,.917,2.25,0,0,346
67,Roberto Luongo,2011,31,VAN,NHL,G,25,15,10,,61,711,650,.914,2.56,4,0,1427
68,Ryan Miller,2011,30,BUF,NHL,G,7,3,4,,20,242,222,.917,2.93,2,2,410
69,Michal Neuvirth,2011,22,WSH,NHL,G,9,4,5,,23,261,238,.912,2.34,1,0,590
70,Antti Niemi,2011,27,SJS,NHL,G,18,8,9,,56,538,482,.896,3.22,0,0,1044
71,Antero Niittymaki,2011,30,SJS,NHL,G,2,1,0,,1,30,29,.967,0.66,0,0,91
72,Carey Price,2011,23,MTL,NHL,G,7,3,4,,16,242,226,.934,2.11,1,0,455
73,Jonathan Quick,2011,25,LAK,NHL,G,6,2,4,,20,229,209,.913,3.16,1,0,380
74,Pekka Rinne,2011,28,NSH,NHL,G,12,6,6,,32,343,311,.907,2.57,0,0,748
75,Dwayne Roloson,2011,41,TBL,NHL,G,17,10,6,,41,541,500,.924,2.51,1,0,982
76,Cory Schneider,2011,24,VAN,NHL,G,5,0,0,,7,82,75,.915,2.58,0,0,163
77,Mike Smith,2011,28,TBL,NHL,G,3,1,1,,2,48,46,.958,1.00,0,0,120
78,Tim Thomas,2011,36,BOS,NHL,G,25,16,9,,51,849,798,.940,1.98,4,4,1542
79,Jake Allen,2012,21,STL,NHL,G,1,0,0,,0,0,0,,0.00,0,0,1
80,Craig Anderson,2012,30,OTT,NHL,G,7,3,4,,14,208,194,.933,2.00,1,0,419
81,Sergei Bobrovsky,2012,23,PHI,NHL,G,1,0,0,,5,18,13,.722,8.11,0,0,37
82,Martin Brodeur,2012,39,NJD,NHL,G,24,14,9,,52,629,577,.917,2.12,1,0,1471
83,Ilya Bryzgalov,2012,31,PHI,NHL,G,11,5,6,,37,326,289,.887,3.46,0,0,642
84,Scott Clemmensen,2012,34,FLA,NHL,G,3,1,2,,7,88,81,.920,2.35,0,0,179
85,Corey Crawford,2012,27,CHI,NHL,G,6,2,4,,17,159,142,.893,2.58,0,0,396
86,Brian Elliott,2012,26,STL,NHL,G,8,3,4,,18,187,169,.904,2.37,0,2,455
87,Marc-Andre Fleury,2012,27,PIT,NHL,G,6,2,4,,26,157,131,.834,4.63,0,0,337
88,Jaroslav Halak,2012,26,STL,NHL,G,2,1,1,,3,46,43,.935,1.73,0,0,104
89,Johan Hedberg,2012,38,NJD,NHL,G,1,0,1,,1,14,13,.929,1.67,0,0,36
90,Braden Holtby,2012,22,WSH,NHL,G,14,7,7,,30,459,429,.935,1.95,0,2,922
91,Jimmy Howard,2012,27,DET,NHL,G,5,1,4,,13,116,103,.888,2.64,0,0,295
92,Brent Johnson,2012,34,PIT,NHL,G,1,0,0,,2,6,4,.667,6.00,0,0,20
93,Henrik Lundqvist,2012,29,NYR,NHL,G,20,10,10,,38,554,516,.931,1.82,3,0,1251
94,Roberto Luongo,2012,32,VAN,NHL,G,2,0,2,,7,64,57,.891,3.59,0,0,117
95,Antti Niemi,2012,28,SJS,NHL,G,5,1,4,,13,151,138,.914,2.45,0,0,318
96,Jonathan Quick,2012,26,LAK,NHL,G,20,16,4,,29,538,509,.946,1.41,3,0,1238
97,Pekka Rinne,2012,29,NSH,NHL,G,10,5,5,,21,296,275,.929,2.07,1,2,609
98,Cory Schneider,2012,25,VAN,NHL,G,3,1,2,,4,101,97,.960,1.31,0,0,183
99,Mike Smith,2012,29,PHX,NHL,G,16,9,7,,34,602,568,.944,1.99,3,14,1027
100,Jose Theodore,2012,35,FLA,NHL,G,5,2,2,,11,135,124,.919,2.46,1,0,268
101,Tim Thomas,2012,37,BOS,NHL,G,7,3,4,,16,207,191,.923,2.14,1,0,448
102,Craig Anderson,2013,31,OTT,NHL,G,10,5,4,,29,352,323,.918,3.01,0,0,578
103,Jonathan Bernier,2013,24,LAK,NHL,G,1,0,0,,0,9,9,1.000,0.00,0,0,30
104,Jonathan Bernier,2013,24,LAK,NHL,G,,,,,,,,,,,0,
105,Peter Budaj,2013,30,MTL,NHL,G,2,0,2,,7,31,24,.774,6.67,0,0,63
106,Corey Crawford,2013,28,CHI,NHL,G,23,16,7,,46,674,628,.932,1.84,1,0,1504
107,Brian Elliott,2013,27,STL,NHL,G,6,2,4,,12,149,137,.919,1.90,0,0,378
108,Marc-Andre Fleury,2013,28,PIT,NHL,G,5,2,2,,17,145,128,.883,3.52,1,0,290
109,Josh Harding,2013,28,MIN,NHL,G,5,1,4,,12,135,123,.911,2.94,0,0,245
110,Jonas Hiller,2013,30,ANA,NHL,G,7,3,4,,18,218,200,.917,2.46,1,0,439
111,Braden Holtby,2013,23,WSH,NHL,G,7,3,4,,16,205,189,.922,2.22,1,2,433
112,Jimmy Howard,2013,28,DET,NHL,G,14,7,7,,35,461,426,.924,2.44,1,2,859
113,Darcy Kuemper,2013,22,MIN,NHL,G,2,0,0,,4,33,29,.879,3.29,0,0,73
114,Robin Lehner,2013,21,OTT,NHL,G,2,0,1,,2,25,23,.920,2.45,0,0,49
115,Robin Lehner,2013,21,OTT,NHL,G,,,,,,,,,,,0,
116,Henrik Lundqvist,2013,30,NYR,NHL,G,12,5,7,,27,411,384,.934,2.14,2,0,756
117,Roberto Luongo,2013,33,VAN,NHL,G,3,0,2,,6,71,65,.915,2.57,0,0,140
118,Evgeni Nabokov,2013,37,NYI,NHL,G,6,2,4,,24,152,128,.842,4.44,0,0,324
119,Antti Niemi,2013,29,SJS,NHL,G,11,7,4,,21,298,277,.930,1.87,0,0,673
120,Kevin Poulin,2013,22,NYI,NHL,G,2,0,0,,1,15,14,.933,1.15,0,0,52
121,Carey Price,2013,25,MTL,NHL,G,4,1,2,,13,123,110,.894,3.26,0,0,239
122,Jonathan Quick,2013,27,LAK,NHL,G,18,9,9,,34,518,484,.934,1.86,3,14,1099
123,Tuukka Rask,2013,25,BOS,NHL,G,22,14,8,0,46,761,715,.940,1.88,3,0,1466
124,James Reimer,2013,24,TOR,NHL,G,7,3,4,,21,272,251,.923,2.88,0,0,438
125,Cory Schneider,2013,26,VAN,NHL,G,2,0,2,,9,75,66,.880,4.62,0,0,117
126,Tomas Vokoun,2013,36,PIT,NHL,G,11,6,5,,23,345,322,.933,2.01,1,0,685
127,Frederik Andersen,2014,24,ANA,NHL,G,7,3,2,0,19,189,170,.899,3.10,0,0,368
128,Sergei Bobrovsky,2014,25,CBJ,NHL,G,6,2,4,0,20,218,198,.908,3.17,0,0,378
129,Ilya Bryzgalov,2014,33,MIN,NHL,G,9,3,6,0,21,182,161,.885,2.63,1,0,479
130,Peter Budaj,2014,31,MTL,NHL,G,1,,,,3,8,5,.625,9.00,0,0,20
131,Corey Crawford,2014,29,CHI,NHL,G,19,11,8,0,52,590,538,.912,2.53,1,0,1234
132,Ray Emery,2014,31,PHI,NHL,G,3,1,2,0,10,89,79,.888,3.49,0,0,172
133,Marc-Andre Fleury,2014,29,PIT,NHL,G,13,7,6,0,32,378,346,.915,2.40,2,0,800
134,John Gibson,2014,20,ANA,NHL,G,4,2,2,0,9,111,102,.919,2.70,1,0,200
135,Kristers Gudlevskis,2014,21,TBL,NHL,G,2,0,1,0,2,20,18,.900,3.00,0,0,40
136,Jonas Gustavsson,2014,29,DET,NHL,G,2,0,2,0,6,72,66,.917,2.71,0,0,133
137,Jonas Hiller,2014,31,ANA,NHL,G,6,2,2,0,8,85,77,.906,2.19,0,0,219
138,Jimmy Howard,2014,29,DET,NHL,G,3,1,2,0,6,87,81,.931,2.02,1,0,178
139,Martin Jones,2014,24,LAK,NHL,G,2,,,,0,7,7,1.000,0.00,0,0,56
140,Darcy Kuemper,2014,23,MIN,NHL,G,6,3,1,0,11,127,116,.913,2.03,1,0,325
141,Kari Lehtonen,2014,30,DAL,NHL,G,6,2,4,0,19,165,146,.885,3.29,1,0,346
142,Anders Lindback,2014,25,TBL,NHL,G,4,0,3,0,14,118,104,.881,3.91,0,0,215
143,Henrik Lundqvist,2014,31,NYR,NHL,G,20,12,7,0,39,543,504,.928,2.03,1,0,1150
144,Steve Mason,2014,25,PHI,NHL,G,5,2,2,0,8,131,123,.939,1.97,0,0,244
145,Ryan Miller,2014,33,STL,NHL,G,6,2,4,0,19,185,166,.897,2.70,0,0,422
146,Antti Niemi,2014,30,SJS,NHL,G,6,3,3,0,19,164,145,.884,3.74,0,0,305
147,Carey Price,2014,26,MTL,NHL,G,12,8,4,0,29,358,329,.919,2.35,1,0,739
148,Jonathan Quick,2014,28,LAK,NHL,G,21,12,9,0,59,628,569,.906,2.86,1,4,1237
149,Tuukka Rask,2014,26,BOS,NHL,G,12,7,5,0,25,348,323,.928,1.99,2,2,753
150,Alex Stalock,2014,26,SJS,NHL,G,3,0,1,0,4,56,52,.929,2.05,0,0,117
151,Cam Talbot,2014,26,NYR,NHL,G,2,0,1,0,2,13,11,.846,2.61,0,0,46
152,Tim Thomas,2014,39,DAL,NHL,G,1,,,,1,2,1,.500,4.00,0,0,15
153,Dustin Tokarski,2014,24,MTL,NHL,G,5,2,3,0,13,155,142,.916,2.60,0,0,300
154,Semyon Varlamov,2014,25,COL,NHL,G,7,3,4,0,20,231,211,.913,2.78,0,0,432
