Rk,Player,Season,Age,Tm,Lg,Nat.,Pos,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,PIM,MIN,GPS
1,Martin Brodeur,2009-10,37,NJD,NHL,CA,G,77,45,25,6,168,2004,1836,.916,2.24,9,6,4499,13.2
2,Miikka Kiprusoff,2008-09,32,CGY,NHL,FI,G,76,45,24,5,209,2155,1946,.903,2.84,4,2,4418,11.5
3,Marty Turco,2008-09,33,DAL,NHL,CA,G,74,33,31,10,203,1993,1790,.898,2.81,3,18,4327,9.6
4,Cam Ward,2010-11,26,CAR,NHL,CA,G,74,37,26,10,184,2375,2191,.923,2.56,4,0,4318,16.8
5,Jonas Hiller,2011-12,29,ANA,NHL,CH,G,73,29,30,12,182,2021,1839,.910,2.57,4,0,4253,11.4
6,Miikka Kiprusoff,2009-10,33,CGY,NHL,FI,G,73,35,28,10,163,2035,1872,.920,2.31,4,4,4235,14.3
7,Henrik Lundqvist,2009-10,27,NYR,NHL,SE,G,73,35,27,10,167,2109,1942,.921,2.38,4,0,4204,15.0
8,Pekka Rinne,2011-12,29,NSH,NHL,FI,G,73,43,18,8,166,2153,1987,.923,2.39,5,0,4169,15.5
9,Carey Price,2010-11,23,MTL,NHL,CA,G,72,38,28,6,165,2147,1982,.923,2.35,8,13,4206,15.4
10,Jonathan Quick,2009-10,24,LAK,NHL,US,G,72,39,24,7,180,1927,1747,.907,2.54,4,2,4258,10.5
11,Craig Anderson,2009-10,28,COL,NHL,US,G,71,38,25,7,186,2233,2047,.917,2.64,7,16,4235,14.8
12,Niklas Backstrom,2008-09,30,MIN,NHL,FI,G,71,37,24,8,159,2059,1900,.923,2.33,8,6,4088,15.6
13,Miikka Kiprusoff,2010-11,34,CGY,NHL,FI,G,71,37,24,6,182,1935,1753,.906,2.63,6,2,4156,10.0
14,Evgeni Nabokov,2009-10,34,SJS,NHL,SU,G,71,44,16,10,170,2168,1998,.922,2.43,3,6,4194,15.6
15,Miikka Kiprusoff,2011-12,35,CGY,NHL,FI,G,70,35,22,11,162,2040,1878,.921,2.35,4,0,4128,14.1
16,Henrik Lundqvist,2008-09,26,NYR,NHL,SE,G,70,38,25,7,168,2007,1839,.916,2.43,3,0,4153,13.7
17,Ilya Bryzgalov,2009-10,29,PHX,NHL,SU,G,69,42,20,6,156,1961,1805,.920,2.29,8,4,4084,13.9
18,Kari Lehtonen,2010-11,27,DAL,NHL,FI,G,69,34,24,11,175,2043,1868,.914,2.55,3,6,4119,12.5
19,Ryan Miller,2009-10,29,BUF,NHL,US,G,69,41,18,8,150,2098,1948,.929,2.22,5,4,4047,16.8
20,Jonathan Quick,2011-12,26,LAK,NHL,US,G,69,35,21,13,133,1863,1730,.929,1.95,10,6,4099,14.7
21,Ilya Bryzgalov,2010-11,30,PHX,NHL,SU,G,68,36,20,10,168,2125,1957,.921,2.48,7,2,4060,14.7
22,Henrik Lundqvist,2010-11,28,NYR,NHL,SE,G,68,36,27,5,152,1965,1813,.923,2.28,11,6,4007,14.0
23,Roberto Luongo,2009-10,30,VAN,NHL,CA,G,68,40,22,4,167,1915,1748,.913,2.57,4,0,3899,11.8
24,Antti Niemi,2011-12,28,SJS,NHL,FI,G,68,34,22,9,159,1865,1706,.915,2.42,6,2,3936,11.6
25,Ondrej Pavelec,2011-12,24,WPG,NHL,CS,G,68,29,28,9,191,2036,1845,.906,2.91,4,0,3932,10.6
26,Cam Ward,2008-09,24,CAR,NHL,CA,G,68,39,23,5,160,1901,1741,.916,2.44,6,4,3928,12.9
27,Cam Ward,2011-12,27,CAR,NHL,CA,G,68,30,23,13,182,2143,1961,.915,2.74,5,4,3988,13.4
28,Marc-Andre Fleury,2009-10,25,PIT,NHL,CA,G,67,37,21,6,168,1772,1604,.905,2.65,1,10,3798,9.4
29,Marc-Andre Fleury,2011-12,27,PIT,NHL,CA,G,67,42,17,4,153,1768,1615,.913,2.36,3,4,3896,10.7
30,Mike Smith,2011-12,29,PHX,NHL,CA,G,67,38,18,10,144,2066,1922,.930,2.21,8,16,3903,16.7
31,Ryan Miller,2010-11,30,BUF,NHL,US,G,66,34,22,8,165,1964,1799,.916,2.59,5,6,3829,12.4
32,Ilya Bryzgalov,2008-09,28,PHX,NHL,SU,G,65,26,31,6,187,1994,1807,.906,2.98,3,4,3760,11.4
33,Marc-Andre Fleury,2010-11,26,PIT,NHL,CA,G,65,36,20,5,143,1742,1599,.918,2.32,3,10,3695,11.4
34,Kari Lehtonen,2013-14,30,DAL,NHL,FI,G,65,33,20,10,153,1888,1735,.919,2.41,5,4,3804,12.6
35,Carey Price,2011-12,24,MTL,NHL,CA,G,65,26,28,11,160,1914,1754,.916,2.43,4,6,3944,12.3
36,Marc-Andre Fleury,2013-14,29,PIT,NHL,CA,G,64,39,18,5,150,1774,1624,.915,2.37,5,4,3792,11.1
37,Antti Niemi,2013-14,30,SJS,NHL,FI,G,64,39,17,7,149,1705,1556,.913,2.39,4,0,3740,10.1
38,Pekka Rinne,2010-11,28,NSH,NHL,FI,G,64,33,22,9,134,1905,1771,.930,2.12,6,12,3789,15.1
39,Craig Anderson,2011-12,30,OTT,NHL,US,G,63,33,22,6,165,1917,1752,.914,2.84,3,4,3492,11.7
40,Ben Bishop,2013-14,27,TBL,NHL,US,G,63,37,14,7,133,1758,1625,.924,2.23,5,4,3586,12.9
41,Jimmy Howard,2010-11,26,DET,NHL,US,G,63,37,17,5,168,1830,1662,.908,2.79,2,4,3615,9.9
42,Jimmy Howard,2009-10,25,DET,NHL,US,G,63,37,15,10,141,1849,1708,.924,2.26,3,2,3740,13.8
43,Henrik Lundqvist,2013-14,31,NYR,NHL,SE,G,63,33,24,5,144,1810,1666,.920,2.36,5,0,3655,12.4
44,Dwayne Roloson,2008-09,39,EDM,NHL,CA,G,63,28,24,9,166,1953,1787,.915,2.77,1,10,3597,13.1
45,Semyon Varlamov,2013-14,25,COL,NHL,SU,G,63,41,14,6,146,2013,1867,.927,2.41,2,2,3640,15.5
46,Tomas Vokoun,2009-10,33,FLA,NHL,CS,G,63,23,28,11,157,2081,1924,.925,2.55,7,0,3695,15.7
47,Marc-Andre Fleury,2008-09,24,PIT,NHL,CA,G,62,35,18,7,162,1850,1688,.912,2.67,4,8,3641,11.9
48,Henrik Lundqvist,2011-12,29,NYR,NHL,SE,G,62,39,18,5,123,1753,1630,.930,1.97,8,4,3754,14.1
49,Evgeni Nabokov,2008-09,33,SJS,NHL,SU,G,62,41,12,8,150,1663,1513,.910,2.44,7,12,3686,10.2
50,Mike Smith,2013-14,31,PHX,NHL,CA,G,62,27,21,10,159,1871,1712,.915,2.64,3,14,3610,11.6
51,Chris Mason,2009-10,33,STL,NHL,CA,G,61,30,22,8,148,1699,1551,.913,2.53,2,0,3512,10.5
52,Steve Mason,2013-14,25,PHI,NHL,CA,G,61,33,18,7,145,1751,1606,.917,2.50,4,10,3486,11.3
53,Steve Mason,2008-09,20,CBJ,NHL,CA,G,61,33,20,7,140,1658,1518,.916,2.29,10,2,3664,11.2
54,Ryan Miller,2011-12,31,BUF,NHL,US,G,61,31,21,7,150,1788,1638,.916,2.55,6,0,3536,11.4
55,Jonathan Quick,2010-11,25,LAK,NHL,US,G,61,35,22,3,134,1631,1497,.918,2.24,6,0,3591,10.7
56,Niklas Backstrom,2009-10,31,MIN,NHL,FI,G,60,26,23,8,158,1632,1474,.903,2.72,2,4,3489,8.3
57,Roberto Luongo,2010-11,31,VAN,NHL,CA,G,60,38,15,7,126,1753,1627,.928,2.11,4,2,3590,13.6
58,Antti Niemi,2010-11,27,SJS,NHL,FI,G,60,35,18,6,140,1741,1601,.920,2.38,6,2,3524,11.7
59,Martin Brodeur,2011-12,39,NJD,NHL,CA,G,59,31,21,4,136,1472,1336,.908,2.41,3,2,3392,7.9
60,Ilya Bryzgalov,2011-12,31,PHI,NHL,SU,G,59,33,16,7,141,1554,1413,.909,2.48,6,4,3415,8.6
61,Corey Crawford,2013-14,29,CHI,NHL,CA,G,59,32,16,10,128,1533,1405,.917,2.26,2,0,3395,9.8
62,Jonas Hiller,2009-10,27,ANA,NHL,CH,G,59,30,23,4,152,1860,1708,.918,2.73,2,0,3338,12.7
63,Kari Lehtonen,2011-12,28,DAL,NHL,FI,G,59,32,22,4,136,1739,1603,.922,2.33,4,0,3497,12.3
64,Ryan Miller,2008-09,28,BUF,NHL,US,G,59,34,18,6,145,1773,1628,.918,2.53,5,4,3443,12.5
65,Ryan Miller,2013-14,33,TOT,NHL,US,G,59,25,30,4,154,1885,1731,.918,2.64,1,0,3501,12.4
66,Carey Price,2013-14,26,MTL,NHL,CA,G,59,34,20,5,134,1828,1694,.927,2.32,6,4,3464,13.9
67,Tim Thomas,2011-12,37,BOS,NHL,US,G,59,35,19,1,132,1659,1527,.920,2.36,5,0,3352,11.5
68,Tomas Vokoun,2008-09,32,FLA,NHL,CS,G,59,26,23,6,138,1855,1717,.926,2.49,6,2,3324,14.6
