Rk,Date,Tm,,Opp,Result,G,PP,SH,S,GA,PP GA,SH GA,SA
1,2014-06-13,LAK,,NYR,W 3-2 (2OT),3,1,0,51,2,1,1,30
2,2014-06-11,NYR,,LAK,W 2-1,2,0,0,19,1,0,0,41
3,2014-06-09,NYR,,LAK,L 0-3,0,0,0,32,3,1,0,15
4,2014-06-07,LAK,,NYR,W 5-4 (2OT),5,1,0,44,4,1,0,38
5,2014-06-04,LAK,,NYR,W 3-2 (OT),3,0,0,43,2,0,1,27
6,2014-06-01,CHI,,LAK,L 4-5 (OT),4,2,0,41,5,0,0,32
7,2014-05-30,LAK,,CHI,L 3-4,3,1,0,29,4,1,0,25
8,2014-05-29,NYR,,MTL,W 1-0,1,0,0,32,0,0,0,18
9,2014-05-28,CHI,,LAK,W 5-4 (2OT),5,1,0,45,4,0,0,44
10,2014-05-27,MTL,,NYR,W 7-4,7,1,1,28,4,1,0,27
11,2014-05-26,LAK,,CHI,W 5-2,5,2,0,21,2,0,0,24
12,2014-05-25,NYR,,MTL,W 3-2 (OT),3,0,1,29,2,1,0,29
13,2014-05-24,LAK,,CHI,W 4-3,4,1,0,32,3,0,1,27
14,2014-05-22,NYR,,MTL,L 2-3 (OT),2,0,0,37,3,0,0,25
15,2014-05-21,CHI,,LAK,L 2-6,2,1,0,25,6,2,0,31
16,2014-05-19,MTL,,NYR,L 1-3,1,0,0,41,3,1,0,30
17,2014-05-18,CHI,,LAK,W 3-1,3,1,0,20,1,0,0,26
18,2014-05-17,MTL,,NYR,L 2-7,2,0,1,22,7,3,0,28
19,2014-05-16,ANA,,LAK,L 2-6,2,0,0,27,6,2,0,30
20,2014-05-14,BOS,,MTL,L 1-3,1,1,0,30,3,1,0,18
21,2014-05-14,LAK,,ANA,W 2-1,2,0,0,23,1,0,0,22
22,2014-05-13,MIN,,CHI,L 1-2 (OT),1,0,0,35,2,0,0,27
23,2014-05-13,PIT,,NYR,L 1-2,1,0,0,36,2,1,0,20
24,2014-05-12,ANA,,LAK,W 4-3,4,1,0,24,3,1,0,42
25,2014-05-12,MTL,,BOS,W 4-0,4,1,0,28,0,0,0,26
26,2014-05-11,CHI,,MIN,W 2-1,2,1,0,28,1,0,0,28
27,2014-05-11,NYR,,PIT,W 3-1,3,0,0,29,1,0,0,37
28,2014-05-10,BOS,,MTL,W 4-2,4,2,0,30,2,2,0,31
