Rank,Country,Score
1,Germany,823.81
2,Brazil,784.78
3,Italy,626.44
4,Argentina,446.88
5,Uruguay,321.88
6,France,313.94
7,Netherlands,242.56
8,England,237.9
9,Spain,212.5
10,Sweden,191.67
11,Hungary,158.33
12,Czechoslovakia,147.92
13,Yugoslavia,118.11
14,Poland,107.14
15,Mexico,107.05
16,Belgium,99.21
17,Austria,96.88
18,Chile,88.3
19,Russia,85.42
20,Portugal,79.17
21,USA,78.53
22,Switzerland,71.23
23,Bulgaria,59.38
24,South Korea,59.37
25,Paraguay,56.01
26,Croatia,46.88
27,Romania,44.0
28,Turkey,43.75
29,Scotland,40.63
30,Peru,36.86
31,Cameroon,33.33
32,Colombia,32.29
33,Denmark,28.13
34,Costa Rica,25.0
35,Ireland,22.92
35,Nigeria,22.92
37,Ghana,21.88
37,Japan,21.88
39,Morocco,19.79
40,Bolivia,19.55
41,Australia,18.75
41,Northern Ireland,18.75
43,Algeria,17.71
44,Norway,17.56
45,Iran,15.63
45,North Korea,15.63
45,Tunisia,15.63
48,Greece,13.54
48,Saudi Arabia,13.54
50,Cuba,12.5
50,East Germany,12.5
50,Ecuador,12.5
50,Senegal,12.5
50,Ukraine,12.5
55,Egypt,10.42
55,El Salvador,10.42
55,Honduras,10.42
58,Côte d'Ivoire,9.38
58,South Africa,9.38
60,New Zealand,7.29
61,Dutch East Indies,7.14
62,Haiti,6.25
62,Israel,6.25
62,Serbia,6.25
62,Slovakia,6.25
62,Slovenia,6.25
62,Wales,6.25
62,Zaire,6.25
69,Canada,4.17
69,Iraq,4.17
69,Kuwait,4.17
69,United Arab Emirates,4.17
73,Angola,3.13
73,Bosnia and Herzegovina,3.13
73,China,3.13
73,Czech Republic,3.13
73,Jamaica,3.13
73,Togo,3.13
73,Trinidad and Tobago,3.13
