match,wcRound,group,date,year,venue,hometeam,results,awayteam
3,Round 1,Group A,09 Jun,1990,Rome ,Italy,1:0 (0:0),Austria
5,Round 1,Group A,10 Jun,1990,Florence ,USA,1:5 (0:2),Czechoslovakia
15,Round 1,Group A,14 Jun,1990,Rome ,Italy,1:0 (1:0),USA
17,Round 1,Group A,15 Jun,1990,Florence ,Austria,0:1 (0:1),Czechoslovakia
29,Round 1,Group A,19 Jun,1990,Rome ,Italy,2:0 (1:0),Czechoslovakia
30,Round 1,Group A,19 Jun,1990,Florence ,Austria,2:1 (0:0),USA
1,Round 1,Group B,08 Jun,1990,Milan ,Argentina,0:1 (0:0),Cameroon
2,Round 1,Group B,09 Jun,1990,Bari ,Soviet Union,0:2 (0:1),Romania
13,Round 1,Group B,13 Jun,1990,Naples ,Argentina,2:0 (1:0),Soviet Union
1,Round 1,Group A,09 Jun,2006,Munich ,Germany,4:2 (2:1),Costa Rica
3,Round 1,Group A,18 Jun,1994,Detroit ,USA,1:1 (1:1),Switzerland
5,Round 1,Group A,18 Jun,1994,Los Angeles ,Colombia,1:3 (1:2),Romania
14,Round 1,Group A,22 Jun,1994,Detroit ,Romania,1:4 (1:1),Switzerland
16,Round 1,Group B,14 Jun,1990,Bari ,Cameroon,2:1 (0:0),Romania
25,Round 1,Group B,18 Jun,1990,Naples ,Argentina,1:1 (0:0),Romania
26,Round 1,Group B,18 Jun,1990,Bari ,Cameroon,0:4 (0:2),Soviet Union
6,Round 1,Group C,10 Jun,1990,Turin ,Brazil,2:1 (1:0),Sweden
8,Round 1,Group C,11 Jun,1990,Genoa ,Costa Rica,1:0 (0:0),Scotland
19,Round 1,Group C,16 Jun,1990,Turin ,Brazil,1:0 (1:0),Costa Rica
20,Round 1,Group C,16 Jun,1990,Genoa ,Sweden,1:2 (0:1),Scotland
31,Round 1,Group C,20 Jun,1990,Turin ,Brazil,1:0 (0:0),Scotland
32,Round 1,Group C,20 Jun,1990,Genoa ,Sweden,1:2 (1:0),Costa Rica
2,Round 1,Group A,09 Jun,2006,Gelsenkirchen ,Poland,0:2 (0:1),Ecuador
17,Round 1,Group A,14 Jun,2006,Dortmund ,Germany,1:0 (0:0),Poland
18,Round 1,Group A,15 Jun,2006,Hamburg ,Ecuador,3:0 (1:0),Costa Rica
33,Round 1,Group A,20 Jun,2006,Berlin ,Ecuador,0:3 (0:2),Germany
34,Round 1,Group A,20 Jun,2006,Hanover ,Costa Rica,1:2 (1:1),Poland
3,Round 1,Group B,10 Jun,2006,Frankfurt/Main ,England,1:0 (1:0),Paraguay
4,Round 1,Group B,10 Jun,2006,Dortmund ,Trinidad and Tobago,0:0,Sweden
15,Round 1,Group A,22 Jun,1994,Los Angeles ,USA,2:1 (1:0),Colombia
25,Round 1,Group A,26 Jun,1994,Los Angeles ,USA,0:1 (0:1),Romania
26,Round 1,Group A,26 Jun,1994,San Francisco ,Switzerland,0:2 (0:1),Colombia
8,Round 1,Group B,19 Jun,1994,Los Angeles ,Cameroon,2:2 (1:1),Sweden
9,Round 1,Group B,20 Jun,1994,San Francisco ,Brazil,2:0 (1:0),Russia
19,Round 1,Group B,24 Jun,1994,San Francisco ,Brazil,3:0 (1:0),Cameroon
20,Round 1,Group B,24 Jun,1994,Detroit ,Sweden,3:1 (1:1),Russia
31,Round 1,Group B,28 Jun,1994,San Francisco ,Russia,6:1 (3:0),Cameroon
32,Round 1,Group B,28 Jun,1994,Detroit ,Brazil,1:1 (0:1),Sweden
1,Round 1,Group A,10 Jun,1998,Saint-Denis ,Brazil,2:1 (1:1),Scotland
2,Round 1,Group A,10 Jun,1998,Montpellier ,Morocco,2:2 (1:1),Norway
4,Round 1,Group D,09 Jun,1990,Bologna ,United Arab Emirates,0:2 (0:0),Colombia
7,Round 1,Group D,10 Jun,1990,Milan ,Germany FR,4:1 (2:0),Yugoslavia
14,Round 1,Group D,14 Jun,1990,Bologna ,Yugoslavia,1:0 (0:0),Colombia
18,Round 1,Group D,15 Jun,1990,Milan ,Germany FR,5:1 (2:0),United Arab Emirates
27,Round 1,Group D,19 Jun,1990,Milan ,Germany FR,1:1 (0:0),Colombia
28,Round 1,Group D,19 Jun,1990,Bologna ,Yugoslavia,4:1 (2:1),United Arab Emirates
10,Round 1,Group E,12 Jun,1990,Verona ,Belgium,2:0 (0:0),Korea Republic
12,Round 1,Group E,13 Jun,1990,Udine ,Uruguay,0:0,Spain
23,Round 1,Group E,17 Jun,1990,Verona ,Belgium,3:1 (2:0),Uruguay
24,Round 1,Group E,17 Jun,1990,Udine ,Korea Republic,1:3 (1:1),Spain
33,Round 1,Group E,21 Jun,1990,Verona ,Belgium,1:2 (1:2),Spain
34,Round 1,Group E,21 Jun,1990,Udine ,Korea Republic,0:1 (0:0),Uruguay
19,Round 1,Group B,15 Jun,2006,Nuremberg ,England,2:0 (0:0),Trinidad and Tobago
20,Round 1,Group B,15 Jun,2006,Berlin ,Sweden,1:0 (0:0),Paraguay
35,Round 1,Group B,20 Jun,2006,Cologne ,Sweden,2:2 (0:1),England
36,Round 1,Group B,20 Jun,2006,Kaiserslautern ,Paraguay,2:0 (1:0),Trinidad and Tobago
5,Round 1,Group C,10 Jun,2006,Hamburg ,Argentina,2:1 (2:0),Côte d'Ivoire
6,Round 1,Group C,11 Jun,2006,Leipzig ,Serbia and Montenegro,0:1 (0:1),Netherlands
21,Round 1,Group C,16 Jun,2006,Gelsenkirchen ,Argentina,6:0 (3:0),Serbia and Montenegro
22,Round 1,Group C,16 Jun,2006,Stuttgart ,Netherlands,2:1 (2:1),Côte d'Ivoire
37,Round 1,Group C,21 Jun,2006,Frankfurt/Main ,Netherlands,0:0,Argentina
38,Round 1,Group C,21 Jun,2006,Munich ,Côte d'Ivoire,3:2 (1:2),Serbia and Montenegro
7,Round 1,Group D,11 Jun,2006,Nuremberg ,Mexico,3:1 (1:1),Iran
8,Round 1,Group D,11 Jun,2006,Cologne ,Angola,0:1 (0:1),Portugal
1,Round 1,Group C,17 Jun,1994,Chicago ,Germany,1:0 (0:0),Bolivia
