PCG,AdmissionRiskL70(age<70),AdmissionRiskG70(age>70),
AMI,5,5
APPCHOL,1,1
ARTHSPIN,1,2
CANCRA,3,4
CANCRB,3,4
CANCRM,4,3
CATAST,3,4
CHF,5,5
COPD,5,5
FLaELEC,1,1
FXDISLC,1,1
GIBLEED,4,3
GIOBSENT,3,2
GYNEC1,1,1
GYNECA,4,3
HEART2,4,3
HEART4,1,2
HEMTOL,3,2
HIPFX,1,4
INFEC4,1,1
LIVERDZ,3,3
METAB1,3,4
METAB3,1,1
MISCHRT,2,3
MISCL1,1,1
MISCL5,1,1
MSC2a3,1,1
NEUMENT,2,1
ODaBNCA,1,1
PERINTL,1,1
PERVALV,4,5
PNCRDZ,2,3
PNEUM,1,2
PRGNCY,1,1
RENAL1,2,3
RENAL2,4,3
RENAL3,2,2
RESPR4,1,1
ROAMI,3,4
SEIZURE,2,2
SEPSIS,2,5
SKNAUT,2,1
STROKE,5,5
TRAUMA,1,2
UTI,1,2
