locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"River Street , Clerkenwell",10,-0.109970527,true,51.52916347,false,1,9
false,"Phillimore Gardens, Kensington",33,-0.197574246,true,51.49960695,false,2,4
false,"Christopher Street, Liverpool Street",29,-0.084605692,true,51.52128377,false,3,2
false,"St. Chad's Street, King's Cross",6,-0.120973687,true,51.53005939,false,4,16
false,"Sedding Street, Sloane Square",16,-0.156876,true,51.49313,false,5,11
false,"Charlbert Street, St. John's Wood",0,-0.1680743,true,51.53430039,false,7,15
false,"Lodge Road, St. John's Wood",13,-0.170134484,true,51.52834133,false,8,5
false,"New Globe Walk, Bankside",18,-0.096440751,true,51.5073853,false,9,0
false,"Park Street, Bankside",8,-0.092754157,true,51.50597426,false,10,10
false,"Brunswick Square, Bloomsbury",4,-0.122502346,true,51.52395143,false,11,19
false,"Malet Street, Bloomsbury",41,-0.130431727,true,51.52168078,false,12,8
false,"Scala Street, Fitzrovia",20,-0.136039674,true,51.51991453,false,13,0
false,"Belgrove Street , King's Cross",0,-0.123616824,true,51.52994371,false,14,18
false,"Great Russell Street, Bloomsbury",26,-0.127854211,true,51.51772703,false,15,0
false,"Hatton Wall, Holborn",22,-0.109006325,true,51.5216612,false,17,4
false,"Cartwright Gardens , Bloomsbury",8,-0.125979294,true,51.52635795,false,16,12
false,"Taviton Street, Bloomsbury",14,-0.131161087,true,51.52505093,false,19,16
false,"Drury Lane, Covent Garden",24,-0.12221963,true,51.51477076,false,18,3
false,"Hampstead Road (Cartmel), Euston",6,-0.13884627,true,51.53007835,false,21,9
false,"Drummond Street , Euston",11,-0.135273468,true,51.52773634,false,20,16
false,"Red Lion Square, Holborn",15,-0.119123345,true,51.51943538,false,23,0
false,"Northington Street , Holborn",14,-0.114079481,true,51.5222641,false,22,4
false,"Doric Way , Somers Town",11,-0.132250369,true,51.5288338,false,25,17
false,"British Museum, Bloomsbury",34,-0.124678402,true,51.51908011,false,24,1
false,"Bouverie Street, Temple",33,-0.107927706,true,51.51382102,false,27,0
false,"Ampton Street , Clerkenwell",0,-0.11829517,true,51.52728093,false,26,21
false,"Hereford Road, Bayswater",12,-0.193487,true,51.513735,false,29,10
false,"Bolsover Street, Fitzrovia",15,-0.143613641,true,51.52351808,false,28,2
false,"Fanshaw Street, Hoxton",18,-0.083353323,true,51.52953709,false,31,15
false,"Windsor Terrace, Hoxton",13,-0.093421615,true,51.52915444,false,30,11
false,"Pancras Road, King's Cross",10,-0.129386874,true,51.5341235,false,34,6
false,"Leonard Circus , Shoreditch",15,-0.084439283,true,51.52469624,false,32,27
false,"Altab Ali Park, Whitechapel",5,-0.067827542,true,51.51681603,false,33,10
false,"Abingdon Villas, Kensington",4,-0.197245586,true,51.4973875,false,38,13
false,"Shoreditch High Street, Shoreditch",27,-0.078130921,true,51.5263778,false,39,14
false,"De Vere Gardens, Kensington",20,-0.184980612,true,51.50173726,false,36,8
false,"Wenlock Road , Hoxton",2,-0.093903825,true,51.53099181,false,42,25
false,"Crawford Street, Marylebone",10,-0.157183945,true,51.52026,false,43,8
false,"Commercial Street, Shoreditch",11,-0.0755789,true,51.52127071,false,40,5
false,"Sun Street, Liverpool Street",22,-0.083911168,true,51.52001715,false,41,3
false,"Nesham Street, Wapping",4,-0.06691,true,51.507131,false,46,12
false,"Warwick Avenue Station, Maida Vale",1,-0.183846408,true,51.52334476,false,47,18
false,"Bruton Street, Mayfair",11,-0.144165239,true,51.51073687,false,44,0
false,"Harewood Avenue, Marylebone",17,-0.163849118,true,51.52231968,false,45,0
false,"Finsbury Library , Finsbury",28,-0.104298194,true,51.52671796,false,51,1
false,"East Road, Hoxton",13,-0.087459376,true,51.52867339,false,50,14
false,"Curzon Street, Mayfair",13,-0.145904427,true,51.50706909,false,49,3
false,"Godliman Street, St. Paul's",23,-0.099141408,true,51.51248445,false,48,2
false,"Finsbury Circus, Liverpool Street",30,-0.086685542,true,51.51707521,false,55,0
false,"Golden Lane, Barbican",25,-0.094475072,true,51.52174785,false,54,2
false,"Grafton Street, Mayfair",18,-0.143495266,true,51.5099923,false,53,0
false,"Roscoe Street, St. Luke's",8,-0.094934859,true,51.52295439,false,52,10
false,"Rodney Street, Angel",7,-0.114329032,true,51.53176825,false,59,22
false,"New Inn Yard, Shoreditch",20,-0.079248081,true,51.52452699,false,58,0
false,"Guilford Street , Bloomsbury",21,-0.120202614,true,51.52334672,false,57,17
false,"Paddington Street, Marylebone",13,-0.154701411,true,51.52058381,false,56,3
false,"Murray Grove , Hoxton",1,-0.089782579,true,51.53089041,false,63,24
false,"Cotton Garden Estate, Kennington",9,-0.106323685,true,51.4907579,false,62,13
false,"Great Dover Street, Borough",3,-0.089446947,true,51.49738251,false,61,28
false,"Lisson Grove, St. John's Wood",15,-0.172190727,true,51.52644828,false,60,3
false,"Theobalds Road , Holborn",24,-0.116688468,true,51.52059681,false,68,2
false,"Euston Road, Euston",9,-0.134407652,true,51.5262363,false,69,13
false,"Calshot Street , King's Cross",11,-0.117069978,true,51.53136059,false,70,13
false,"Newgate Street , St. Paul's",31,-0.098850915,true,51.5154186,false,71,0
false,"William IV Street, Strand",26,-0.124749274,true,51.50946212,false,64,0
false,"Gower Place , Euston",17,-0.13518856,true,51.52522753,false,65,0
false,"Holborn Circus, Holborn",38,-0.108657431,true,51.51795029,false,66,0
false,"Hatton Garden, Holborn",26,-0.108028472,true,51.51882555,false,67,2
false,"Longford Street, Regent's Park",12,-0.144083893,true,51.52559505,false,76,9
false,"Russell Square Station, Bloomsbury",8,-0.124121774,true,51.52341837,false,77,18
false,"Sadlers Sports Centre, Finsbury",9,-0.099489485,true,51.52486887,false,78,8
false,"Farringdon Lane, Clerkenwell",15,-0.108340165,true,51.52352001,false,72,1
false,"Old Street Station, St. Luke's",33,-0.088486188,true,51.52572618,false,73,2
false,"Vauxhall Cross, Vauxhall",5,-0.124469948,true,51.48591714,false,74,12
false,"Torrens Street, Angel",18,-0.105480698,true,51.53219984,false,75,1
false,"Tanner Street, Bermondsey",2,-0.078600401,true,51.50064702,false,85,13
false,"Breams Buildings, Holborn",24,-0.111778348,true,51.51593725,false,84,1
false,"Devonshire Square, Liverpool Street",15,-0.079684557,true,51.51646835,false,87,1
false,"Sancroft Street, Vauxhall",3,-0.115156562,true,51.48947903,false,86,21
false,"Great Titchfield Street, Fitzrovia",18,-0.141327271,true,51.52025302,false,81,0
false,"Webber Street , Southwark",20,-0.102091246,true,51.50069361,false,80,4
false,"Panton Street, West End",20,-0.131510949,true,51.50963938,false,83,0
