Action,locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
Modified,False,"River Street , Clerkenwell",8 | 10,-0.109970527,True,51.52916347,False,1,10 | 9
Modified,False,"Phillimore Gardens, Kensington",1 | 33,-0.197574246,True,51.49960695,False,2,36 | 4
Modified,False,"Christopher Street, Liverpool Street",13 | 29,-0.084605692,True,51.52128377,False,3,19 | 2
Modified,False,"St. Chad's Street, King's Cross",7 | 6,-0.120973687,True,51.53005939,False,4,14 | 16
Modified,False,"Sedding Street, Sloane Square",8 | 16,-0.156876,True,51.49313,False,5,19 | 11
Deleted,False,"Broadcasting House, Marylebone",12,-0.144228881,True,51.51811784,False,6,0
Modified,False,"Charlbert Street, St. John's Wood",8 | 0,-0.1680743,True,51.53430039,False,7,8 | 15
Modified,False,"Lodge Road, St. John's Wood",10 | 13,-0.170134484,True,51.52834133,False,8,8 | 5
Modified,False,"New Globe Walk, Bankside",1 | 18,-0.096440751,True,51.5073853,False,9,17 | 0
Modified,False,"Park Street, Bankside",14 | 8,-0.092754157,True,51.50597426,False,10,1 | 10
Modified,False,"Brunswick Square, Bloomsbury",21 | 4,-0.122502346,True,51.52395143,False,11,2 | 19
Added,False,"Malet Street, Bloomsbury",41,-0.130431727,True,51.52168078,False,12,8
Modified,False,"Scala Street, Fitzrovia",20,-0.136039674,True,51.51991453,False,13,1 | 0
Modified,False,"Belgrove Street , King's Cross",0,-0.123616824,True,51.52994371,False,14,20 | 18
Modified,False,"Great Russell Street, Bloomsbury",19 | 26,-0.127854211,True,51.51772703,False,15,1 | 0
Modified,False,"Cartwright Gardens , Bloomsbury",1 | 8,-0.125979294,True,51.52635795,False,16,19 | 12
Modified,False,"Hatton Wall, Holborn",21 | 22,-0.109006325,True,51.5216612,False,17,2 | 4
Modified,False,"Drury Lane, Covent Garden",23 | 24,-0.12221963,True,51.51477076,False,18,0 | 3
Modified,False,"Taviton Street, Bloomsbury",17 | 14,-0.131161087,True,51.52505093,False,19,13 | 16
Modified,False,"Drummond Street , Euston",24 | 11,-0.135273468,True,51.52773634,False,20,2 | 16
Modified,False,"Hampstead Road (Cartmel), Euston",14 | 6,-0.13884627,True,51.53007835,False,21,2 | 9
Modified,False,"Northington Street , Holborn",17 | 14,-0.114079481,True,51.5222641,False,22,1 | 4
Modified,False,"Red Lion Square, Holborn",12 | 15,-0.119123345,True,51.51943538,False,23,1 | 0
Modified,False,"British Museum, Bloomsbury",34,-0.124678402,True,51.51908011,False,24,0 | 1
Modified,False,"Doric Way , Somers Town",25 | 11,-0.132250369,True,51.5288338,False,25,5 | 17
Modified,False,"Ampton Street , Clerkenwell",1 | 0,-0.11829517,True,51.52728093,False,26,20 | 21
Modified,False,"Bouverie Street, Temple",12 | 33,-0.107927706,True,51.51382102,False,27,4 | 0
Modified,False,"Bolsover Street, Fitzrovia",17 | 15,-0.143613641,True,51.52351808,False,28,1 | 2
Modified,False,"Hereford Road, Bayswater",13 | 12,-0.193487,True,51.513735,False,29,9 | 10
Modified,False,"Windsor Terrace, Hoxton",14 | 13,-0.093421615,True,51.52915444,False,30,9 | 11
Modified,False,"Fanshaw Street, Hoxton",12 | 18,-0.083353323,True,51.52953709,False,31,21 | 15
Modified,False,"Leonard Circus , Shoreditch",24 | 15,-0.084439283,True,51.52469624,False,32,15 | 27
Modified,False,"Altab Ali Park, Whitechapel",3 | 5,-0.067827542,True,51.51681603,False,33,10
Modified,False,"Pancras Road, King's Cross",11 | 10,-0.129386874,True,51.5341235,False,34,5 | 6
Unchanged,False,"De Vere Gardens, Kensington",20,-0.184980612,True,51.50173726,False,36,8
Deleted,False,"Penywern Road, Earl's Court",0,-0.19236925600000002,True,51.49159394,False,37,17
Modified,False,"Abingdon Villas, Kensington",0 | 4,-0.197245586,True,51.4973875,False,38,16 | 13
Modified,False,"Shoreditch High Street, Shoreditch",0 | 27,-0.078130921,True,51.5263778,False,39,36 | 14
Modified,False,"Commercial Street, Shoreditch",1 | 11,-0.0755789,True,51.52127071,False,40,15 | 5
Modified,False,"Sun Street, Liverpool Street",15 | 22,-0.083911168,True,51.52001715,False,41,8 | 3
Modified,False,"Wenlock Road , Hoxton",1 | 2,-0.093903825,True,51.53099181,False,42,27 | 25
Modified,False,"Crawford Street, Marylebone",11 | 10,-0.157183945,True,51.52026,False,43,4 | 8
Modified,False,"Bruton Street, Mayfair",20 | 11,-0.144165239,True,51.51073687,False,44,0
Modified,False,"Harewood Avenue, Marylebone",7 | 17,-0.163849118,True,51.52231968,False,45,11 | 0
